pattern_id,intensity,linewidth_nm,shape,defect_type
72,0.8942263055082413,47,Circle,nanoparticle
73,1.0,43,Circle,none
74,0.8455859835419328,41,Circle,none
75,0.7751856784274183,54,Square,bridge
76,0.8016398806219531,30,T-shape,open
77,0.7551220702083415,32,Square,open
78,0.8472948906374452,41,Circle,open
79,0.5885254943683738,33,T-shape,bridge
80,0.5984249212535072,40,Line,bridge
81,0.8993194909419936,34,Line,missing_resist
82,0.5954689509752634,49,L-shape,nanoparticle
83,0.7870424088621703,49,Square,nanoparticle
84,0.6607345572220515,39,Square,open
85,0.7566183836798931,38,Line,bridge
86,0.615772236706812,37,Square,open
87,0.7815768002962071,42,Circle,open
88,0.8209234146853757,45,Line,nanoparticle
89,0.8155636930921373,44,L-shape,none
90,0.7590581867503193,46,Circle,none
91,0.7593722847213592,41,Square,open
92,0.5793733826284391,46,Circle,none
93,0.756883022648156,31,Circle,open
94,0.6763211916485942,36,Square,none
95,0.8344604885878422,32,L-shape,bridge
96,0.7437479290012716,33,Circle,open
97,0.6274874996782744,37,L-shape,none
98,0.7718707576081341,45,Circle,open
99,0.8133315073928704,39,Square,none
100,0.7106424258910715,46,Circle,missing_resist
101,0.7238265718600396,53,L-shape,bridge
102,0.9195958628728502,33,Line,none
103,0.6116503698424742,49,Square,nanoparticle
104,0.6270096187807491,54,Square,nanoparticle
105,0.6094310038393018,43,T-shape,nanoparticle
106,0.7076708028082983,32,T-shape,open
107,0.8700978631755343,31,Line,missing_resist
108,0.6466731742249916,35,Line,nanoparticle
109,0.7428362255773349,41,Circle,missing_resist
110,0.8856095262088147,39,Circle,bridge
111,0.7180392942995877,32,Square,bridge
112,0.7004692368071604,53,Square,none
113,0.595968415579008,38,Square,nanoparticle
114,0.73201927264069,33,T-shape,none
115,0.8996887260043318,40,Square,none
116,0.822384134914372,44,Circle,nanoparticle
117,0.7051764265134333,47,T-shape,missing_resist
118,0.765753258517046,48,Circle,nanoparticle
119,0.8477047601660859,38,Line,open
120,0.8307145657875928,41,Line,missing_resist
121,0.7183307948763527,41,Line,bridge
122,0.927811366971459,53,Line,nanoparticle
123,0.8283737644757896,40,Line,open
124,0.685755549252697,37,L-shape,open
125,0.7572918915252784,35,L-shape,open
126,0.7274818324318724,38,Line,open
127,0.9336166783796264,50,Circle,none
128,1.0,54,Line,none
129,0.63616761310378,42,Line,bridge
130,0.6166321400035276,34,Circle,open
131,0.7857596386911848,40,L-shape,nanoparticle
132,0.5715715768194009,40,T-shape,open
133,0.9267983082358477,43,L-shape,bridge
134,0.68511155808142,46,L-shape,open
135,0.7515918163645268,45,L-shape,nanoparticle
136,0.6854495223271998,39,Line,open
137,0.7706554271415432,30,Circle,open
138,0.6339447718031437,54,T-shape,none
139,0.7529042333516325,37,Line,open
140,0.7734651433204998,44,Line,none
141,0.8254412783631241,31,Circle,open
142,0.6704837834506193,41,Line,bridge
143,0.7653206369338479,45,Line,bridge
144,0.9260571746846029,41,Circle,none
145,0.8474040163713662,48,Square,missing_resist
146,0.6869504861801929,35,T-shape,open
147,0.8016249609281332,46,Line,none
148,0.6635536162489306,46,Square,open
149,0.6227943903212332,30,Circle,none
150,0.6144498050590057,41,T-shape,nanoparticle
151,0.6636816982404674,48,Line,nanoparticle
152,0.6665190833788286,35,Circle,bridge
153,0.7067890850960538,47,Square,open
154,0.7916204577411337,50,Line,missing_resist
155,0.7826432440279403,54,T-shape,none
156,0.5767419689086778,35,Line,missing_resist
157,0.9024890998217836,37,Line,open
158,0.7828169424140994,45,Circle,open
159,0.8153096856357201,44,L-shape,none
160,0.6181332475661147,40,Line,none
161,0.5824936646343317,37,Line,nanoparticle
162,0.7071631141119995,52,Circle,bridge
163,0.7740091970945147,48,Square,none
164,0.6199743656081109,34,T-shape,nanoparticle
165,0.5655003876865232,48,Line,none
166,0.7708027499659942,53,L-shape,missing_resist
167,0.7631342566703542,35,Square,open
168,0.842533581363125,42,Circle,none
169,0.7186111636999147,33,Square,missing_resist
170,0.5528464818666158,36,Line,missing_resist
171,0.6734408765945843,53,Circle,open
172,0.8995063462143104,53,Line,nanoparticle
173,1.0,52,Circle,nanoparticle
174,0.6109588742800953,42,Circle,none
175,0.7083936238237393,50,T-shape,open
176,0.511650628484608,52,T-shape,none
177,0.6807189264331752,51,Line,missing_resist
178,0.7380117749268355,49,T-shape,missing_resist
179,0.6923731959442673,34,T-shape,missing_resist
180,0.6839497227707125,48,T-shape,none
181,0.8572119914536679,30,T-shape,bridge
182,0.6961524038983044,45,Circle,none
183,0.689913064325225,40,L-shape,bridge
184,0.8859701495592834,50,Square,open
185,0.8806773565579815,50,T-shape,missing_resist
186,1.0,31,Circle,missing_resist
187,0.7321265862388922,44,Line,nanoparticle
188,0.6610469803788284,51,Circle,open
189,0.7605371946030327,54,Circle,nanoparticle
190,0.8637392984161569,30,Square,missing_resist
191,0.6317033525360168,41,Square,bridge
192,0.8525836659147352,36,T-shape,open
193,0.6186842437614725,34,T-shape,missing_resist
194,0.8109524858675711,45,L-shape,missing_resist
195,0.8218783410111866,49,Line,none
196,1.0,54,Circle,missing_resist
197,0.7740586086870833,36,L-shape,open
198,0.7467807609041073,52,L-shape,bridge
199,0.7336712312275865,36,Circle,nanoparticle
200,0.7466856637636019,49,Circle,none
